batting_team,bowling_team,current_over,current_score,wickets_lost,target_over,target_score
RR,KKR,15,136,4,17,151
SRH,DC,8,52,2,14,101
SRH,PBKS,6,40,4,7,48
PBKS,GT,5,40,1,17,238
RCB,SRH,8,66,2,13,128
DC,GT,11,66,8,13,77
GT,DC,6,52,3,13,133
SRH,RCB,5,35,3,7,55
PBKS,KKR,10,61,1,20,182
GT,KKR,12,99,8,18,132
MI,PBKS,12,89,8,17,126
CSK,GT,11,84,0,19,156
RCB,CSK,12,106,0,15,134
RR,GT,11,103,1,12,111
RR,LSG,9,80,7,15,134
CSK,KKR,9,88,2,10,101
RR,SRH,15,121,9,17,131
RCB,SRH,5,36,3,19,150
RR,KKR,11,78,5,13,97
LSG,DC,10,78,3,20,158
LSG,RR,5,35,2,19,144
LSG,RCB,11,73,8,16,108
GT,SRH,15,109,7,16,115
CSK,DC,11,87,0,16,144
CSK,MI,6,48,4,7,58
MI,PBKS,14,139,6,18,162
SRH,CSK,10,74,3,12,97
CSK,GT,15,101,2,19,142
KKR,RCB,14,112,2,18,163
KKR,GT,5,37,1,13,113
LSG,GT,6,58,1,9,88
GT,LSG,8,64,1,9,73
DC,PBKS,15,101,8,18,122
RCB,DC,12,91,0,20,224
CSK,LSG,8,76,3,11,105
LSG,RCB,13,78,1,15,106
LSG,KKR,5,30,4,9,66
SRH,RR,7,60,0,19,222
PBKS,SRH,10,69,5,16,119
PBKS,LSG,15,116,4,16,126
CSK,PBKS,7,58,0,8,75
DC,RR,7,62,4,15,132
DC,RCB,5,31,4,10,70
CSK,KKR,6,49,1,9,88
SRH,MI,10,74,1,20,220
CSK,GT,15,132,6,20,167
GT,RCB,6,56,4,18,175
LSG,KKR,8,68,5,20,203
MI,RCB,11,95,2,20,176
PBKS,RR,5,30,2,17,154
SRH,DC,9,70,5,13,103
RCB,SRH,12,106,1,16,163
RCB,CSK,12,84,9,19,115
GT,DC,11,84,4,12,91
CSK,RCB,10,88,7,15,127
RR,DC,10,89,2,20,194
DC,RR,13,95,4,20,143
KKR,PBKS,14,126,4,18,156
DC,SRH,14,118,4,18,145
GT,RCB,14,112,7,19,152
SRH,RR,6,36,2,10,85
MI,KKR,5,39,2,16,205
RCB,CSK,5,43,2,17,162
MI,KKR,6,52,0,16,170
GT,MI,7,49,3,17,171
SRH,KKR,13,119,8,17,138
LSG,SRH,7,69,3,9,87
SRH,RR,9,62,6,16,128
LSG,CSK,5,40,0,11,110
RCB,CSK,8,48,0,11,77
RR,KKR,7,55,4,12,97
LSG,KKR,15,102,4,16,109
DC,SRH,14,108,6,19,144
MI,GT,14,130,0,19,212
SRH,GT,6,57,1,11,120
PBKS,RCB,12,89,0,18,186
RR,GT,8,59,3,11,97
PBKS,SRH,15,104,2,18,133
MI,DC,12,77,8,19,128
LSG,CSK,13,123,5,18,181
DC,RR,9,89,4,13,130
KKR,GT,6,39,0,20,202
CSK,PBKS,10,83,6,19,176
GT,SRH,10,78,4,18,139
KKR,LSG,14,96,4,15,104
PBKS,CSK,13,94,3,18,154
RCB,RR,6,45,4,15,129
SRH,MI,15,92,6,16,101
MI,CSK,15,125,8,18,148
CSK,RCB,13,99,0,18,146
PBKS,CSK,9,89,5,12,116
DC,PBKS,9,81,2,10,90
LSG,CSK,7,49,3,8,61
MI,LSG,11,95,1,17,184
MI,CSK,10,98,8,11,102
RR,DC,9,77,2,12,121
MI,RR,6,50,2,9,94
KKR,GT,10,78,6,20,178
DC,KKR,14,135,9,15,139
SRH,DC,6,50,1,19,182
RCB,GT,11,71,5,19,127
KKR,LSG,13,124,2,16,163
MI,KKR,7,65,1,19,200
PBKS,DC,10,64,8,20,143
CSK,GT,14,128,8,20,155
CSK,DC,5,31,2,18,232
SRH,PBKS,14,126,7,16,142
SRH,RCB,11,96,6,13,111
RCB,KKR,13,116,9,20,149
RR,PBKS,14,113,8,15,118
LSG,KKR,14,128,1,18,179
MI,LSG,12,92,2,14,112
PBKS,KKR,14,118,7,17,146
DC,GT,5,30,4,11,84
KKR,LSG,11,103,2,14,126
DC,KKR,12,77,1,16,143
KKR,RR,10,70,7,16,118
LSG,MI,15,124,2,20,193
PBKS,RR,8,61,0,12,105
CSK,RR,9,72,6,13,100
RCB,CSK,10,73,4,17,144
MI,LSG,6,38,4,15,142
SRH,PBKS,11,100,0,16,182
MI,PBKS,12,119,1,16,165
CSK,LSG,10,61,7,19,136
RCB,PBKS,9,83,2,19,231
LSG,GT,6,55,2,19,186
RR,CSK,13,96,6,15,112
SRH,LSG,7,57,5,13,104
RCB,LSG,14,91,0,18,153
KKR,RR,13,94,4,16,128
KKR,RR,6,54,2,16,158
PBKS,KKR,12,100,7,17,135
KKR,MI,15,128,2,19,176
DC,KKR,15,147,7,17,165
GT,SRH,6,50,3,17,203
